patch,date,dvv,cc_max,n_stack
48.050_-123.850__c46,2016-12-03,0.0031466933890966,0.9834288965685362,30
48.050_-123.850__c46,2016-12-04,0.0033599716117508,0.9821019948686855,30
48.050_-123.850__c46,2016-12-05,0.0030633210293233,0.9827413881077248,30
48.050_-123.850__c46,2016-12-06,0.0028437198596549,0.9830318071985056,30
48.050_-123.850__c46,2016-12-07,0.0027110310340733,0.9846343671882974,30
48.050_-123.850__c46,2016-12-08,0.0025149890693972,0.9856066064953972,30
48.050_-123.850__c46,2016-12-09,0.0021525094201295,0.9858967695958544,30
48.050_-123.850__c46,2016-12-10,0.0020482254905745,0.985381483137928,30
48.050_-123.850__c46,2016-12-11,0.0021876849508085,0.9837796607390236,30
48.050_-123.850__c46,2016-12-12,0.0020164855483998,0.9852261030186944,30
48.050_-123.850__c46,2016-12-13,0.0024426817815115,0.9873396966598084,30
48.050_-123.850__c46,2016-12-14,0.0024528489484069,0.986712733811682,30
48.050_-123.850__c46,2016-12-15,0.0023482253254343,0.9885004479242356,30
48.050_-123.850__c46,2016-12-16,0.0020842450227624,0.9905004706046244,30
48.050_-123.850__c46,2016-12-17,0.0019502048361081,0.9914791582869644,30
48.050_-123.850__c46,2016-12-18,0.0019027635242986,0.9903295467812002,30
48.050_-123.850__c46,2016-12-19,0.0018741614531338,0.9904428472540052,30
48.050_-123.850__c46,2016-12-20,0.0018454797822121,0.9914889641673292,30
48.050_-123.850__c46,2016-12-21,0.0017715026064963,0.9918805197086692,30
48.050_-123.850__c46,2016-12-22,0.0015728526734653,0.9913224987931892,30
48.050_-123.850__c46,2016-12-23,0.0014528053489708,0.991767358724887,30
48.050_-123.850__c46,2016-12-24,0.001200277136422,0.9919256269969466,30
48.050_-123.850__c46,2016-12-25,0.0013216765425637,0.992269686044706,30
48.050_-123.850__c46,2016-12-26,0.0011149375196282,0.9919988345693002,30
48.050_-123.850__c46,2016-12-27,0.0011096198898485,0.9937754102638554,30
48.050_-123.850__c46,2016-12-28,0.0010685858367558,0.9938863458783516,30
48.050_-123.850__c46,2017-01-20,0.0012282815231528,0.9834667803952856,8
48.050_-123.850__c46,2017-01-21,0.0019024950837671,0.9813605929512816,8
48.050_-123.850__c46,2017-01-22,0.0034438331381548,0.9763724816246364,8
48.050_-123.850__c46,2017-01-23,0.0036493334896841,0.9821168830085248,8
48.050_-123.850__c46,2017-01-24,0.0022680651387355,0.9870364767744187,8
48.050_-123.850__c46,2017-01-25,0.0023382065507525,0.9897994827278694,8
48.050_-123.850__c46,2017-01-26,0.0017256153632728,0.9930205149448598,8
48.050_-123.850__c46,2017-01-27,0.00180304831785,0.9918165780187488,8
48.050_-123.850__c46,2017-01-28,0.0021924961276687,0.992021604146568,9
48.050_-123.850__c46,2017-01-29,0.002475821363478,0.992196424574906,10
48.050_-123.850__c46,2017-01-30,0.0021203197210241,0.9950889295178142,11
48.050_-123.850__c46,2017-01-31,0.0021050930917117,0.994131659678072,12
48.050_-123.850__c46,2017-02-01,0.0020746106641608,0.995303256439807,13
48.050_-123.850__c46,2017-02-02,0.0018990029998518,0.9945032991458468,14
48.050_-123.850__c46,2017-02-03,0.0016063633344074,0.995921943672232,15
48.050_-123.850__c46,2017-02-04,0.0016577295167732,0.9973864829514132,16
48.050_-123.850__c46,2017-02-05,0.0015138243285131,0.9978357785177768,17
48.050_-123.850__c46,2017-02-06,0.0010944471706994,0.9987348458246158,18
48.050_-123.850__c46,2017-02-07,0.0008160942812289,0.9988374604378016,19
48.050_-123.850__c46,2017-02-08,0.0005709754421264,0.9988445197402992,20
48.050_-123.850__c46,2017-02-09,0.0006215245986765,0.9990458810391856,21
48.050_-123.850__c46,2017-02-10,0.0007819481229903,0.9990625346561706,22
48.050_-123.850__c46,2017-02-11,0.0009542464788416,0.9988354257170065,23
48.050_-123.850__c46,2017-02-12,0.0010052709679474,0.9988392806960328,24
48.050_-123.850__c46,2017-02-13,0.0009028939105173,0.9987209495442896,25
48.050_-123.850__c46,2017-02-14,0.0008562515186933,0.9989493260505204,26
