station,fam,n,wkratio,workhr,dn,midday_wd,identity
B004,48.350_-123.100__c1219,140418,1.7884207245150077,0.39849591932658207,0.777377946446121,0.30445526926747285,BLAST
B004,48.400_-123.750__c510,231499,2.517473986680327,0.42949213603514486,0.6185635489187099,0.363457293552024,BLAST
B004,48.400_-123.850__c1161,343882,2.5274529281044065,0.4626238070035652,0.5863335129459996,0.39201237633839514,BLAST
B004,48.450_-123.100__c191,172899,0.9529774493668897,0.32148248399354534,1.0355083244775063,0.19915094939820358,NATURAL-like
B004,48.500_-123.700__c309,319242,2.1023884325333566,0.4279073555484554,0.603809649750251,0.3509907844205963,BLAST
B004,48.550_-123.300__c644,129934,1.9782684281955718,0.41723490387427464,0.7242634149455741,0.3368094571089938,BLAST
B004,48.600_-123.500__c54,68946,1.6329443173936662,0.37761436486525685,0.8222250300082128,0.2900095727090767,FLAT-mixed
B004,48.600_-124.050__c292,213617,3.3045784780608916,0.44701498476244866,0.5361899497313825,0.3892901782161532,BLAST
B004,48.600_-124.200__c653,215353,2.51024948685238,0.42442872864552617,0.6126855722110118,0.3588015955199138,BLAST
B004,48.700_-123.650__c1231,100967,1.6310549915912302,0.3892063743599394,0.82923446945895,0.2919765864094209,FLAT-mixed
B004,48.700_-124.150__c1318,126168,2.4835282461109816,0.4330654365607761,0.638640485272966,0.36594065056115654,BLAST
B004,48.750_-124.500__c253,191187,0.8525595297500985,0.28688666070391816,1.1425674223702589,0.15319556245979069,FLAT-mixed
B004,48.750_-124.550__c138,174996,0.8377395786355041,0.29048092527829206,1.1396570187920843,0.15547783949347413,FLAT-mixed
B004,48.850_-124.300__c345,115752,1.8528246416513066,0.39909461607574814,0.7681712033861199,0.3083143271822517,BLAST
B004,48.850_-124.350__c503,390614,2.4030096500184,0.4740613495676038,0.5612871708553409,0.39937380636638725,BLAST
B004,48.900_-124.550__c933,160502,2.7563617970401384,0.4438387060597376,0.5998032015743874,0.37922891926580354,BLAST
B004,49.000_-123.600__c203,99278,1.884363809101996,0.4188944176957634,0.7402196873679764,0.3359354539777191,BLAST
B004,49.000_-123.750__c454,225040,3.0717846384460796,0.4347982580874511,0.5399391997370799,0.3754576964095272,BLAST
B004,49.000_-124.900__c742,305830,2.6820601357176255,0.45164306967923357,0.5886903457987795,0.3853284504463264,BLAST
B004,49.100_-124.600__c189,220041,0.865868964157227,0.2875145995519017,1.1641138113599114,0.1542439818033912,FLAT-mixed
B004,49.100_-124.650__c704,390112,1.9723153783035487,0.44740997457140513,0.5919712959880955,0.3626138134689525,BLAST
B005,47.200_-122.700__c75,24088,1.9447714882276437,0.5345400199269346,1.0960385438972162,0.42548156758551975,BLAST
B005,47.200_-122.900__c736,37498,1.1450466158602715,0.41815563496719826,1.3102135284455727,0.2803082831084325,FLAT-mixed
B005,47.200_-122.950__c428,35712,0.9471698223598675,0.39317316308243727,1.4516182849516184,0.23686715949820789,DIURNAL-other
B005,47.200_-123.050__c256,35395,0.973926360669805,0.39112869049300747,1.4433716732432205,0.23910156801808166,DIURNAL-other
B005,47.200_-123.150__c732,32563,1.0030169380420437,0.3972914043546356,1.4340170629878382,0.24527838344132913,DIURNAL-other
B005,47.250_-122.950__c804,48618,0.8473211653123972,0.3793450985231807,1.386760208670624,0.21845818421160887,FLAT-mixed
B005,47.300_-122.700__c900,34462,0.9440829118223091,0.388050606465092,1.498279057453005,0.23126922407289188,DIURNAL-other
B005,47.300_-122.850__c1093,41609,0.8898478243430301,0.3663630464562955,1.519448946515397,0.20841644836453652,DIURNAL-other
B005,47.300_-122.850__c1096,29181,2.008994070363687,0.541825160206984,1.0352659892408846,0.43089681642164424,BLAST
B005,47.300_-123.000__c1147,36299,0.8834326728600572,0.36805421636959695,1.5123493214195398,0.2078569657566324,DIURNAL-other
B005,47.300_-123.100__c87,50918,2.609878957045358,0.6064849365646726,0.9562841530054644,0.5068737970855101,BLAST
B005,47.350_-122.550__c563,35436,1.0891807593068608,0.39911389547352977,1.3234056071797315,0.2629247093351394,FLAT-mixed
B005,47.350_-122.850__c1069,47585,0.841095580213575,0.3706840390879479,1.4746863656626121,0.20781758957654722,DIURNAL-other
B005,47.400_-122.800__c1223,43661,1.0321308491543488,0.42818533702846934,1.1503366193796585,0.288037378896498,FLAT-mixed
