net,sta,lat,lon,chans,earliest,tremor_km,record_yr,band_km
UW,OCP,48.298,-124.625,EHZ,2016.0,2.0,10.0,42.0
CC,PR02,46.918,-122.049,BHZ,2020.0,4.0,6.0,43.0
NC,KRK,39.563,-123.184,EHZ,2020.0,4.0,6.0,43.0
US,NLWA,47.392,-123.869,BHZ,2018.0,3.0,8.0,43.0
CC,PR01,46.91,-122.038,BHZ,2020.0,3.0,6.0,43.0
BK,PIT6,40.931,-121.948,BHZ/HHZ,2021.0,5.0,5.0,43.0
CC,PR03,46.903,-122.033,BHZ,2020.0,3.0,6.0,44.0
BK,SIGP,41.873,-124.068,BHZ/HHZ,2018.0,6.0,8.0,44.0
NC,GCK,39.544,-122.437,EHZ,2019.0,6.0,7.0,44.0
UW,WISH,47.116,-123.771,HHZ,2019.0,6.0,7.0,44.0
NC,LMP,41.488,-122.155,EHZ,2015.0,4.0,11.0,44.0
NC,LMC,41.274,-122.122,HHZ,2019.0,3.0,7.0,45.0
UO,HBUG,42.641,-124.379,HHZ,2020.0,5.0,6.0,45.0
UW,SEAS2,46.036,-123.896,HHZ,2020.0,4.0,6.0,46.0
UW,RADR,46.422,-123.799,HHZ,2019.0,8.0,7.0,46.0
NC,KIP,39.809,-123.481,EHZ,2020.0,2.0,6.0,46.0
BK,GRPK,41.122,-121.994,BHZ/HHZ,2021.0,2.0,5.0,46.0
UW,BHW,47.836,-122.031,EHZ/HHZ,2017.0,7.0,9.0,46.0
CC,CARB,46.988,-122.005,BHZ,2018.0,1.0,8.0,46.0
CC,PR04,46.93,-121.989,BHZ,2020.0,3.0,6.0,47.0
UW,ELK,46.306,-122.342,EHZ,2013.0,3.0,13.0,48.0
NC,KRP,41.158,-124.023,HHZ,2016.0,14.0,10.0,48.0
CC,VOIT,46.966,-121.983,BHZ,2019.0,4.0,7.0,48.0
UW,PUPY,46.495,-122.146,EHZ,2019.0,11.0,7.0,48.0
CN,QEPB,49.242,-123.114,HHZ,2020.0,8.0,6.0,48.0
UW,ARTIC,46.805,-123.759,HHZ,2021.0,3.0,5.0,49.0
UW,RVC,46.944,-121.974,EHZ,2012.0,5.0,14.0,49.0
CN,TXDB,49.698,-124.438,HHZ,2019.0,3.0,7.0,49.0
CC,CRBN,46.988,-121.961,BHZ,2020.0,3.0,6.0,49.0
UW,FL2,46.196,-122.351,EHZ,2008.0,4.0,18.0,50.0
UW,DONK,48.424,-122.157,HHZ,2019.0,4.0,7.0,50.0
CC,SIFT,46.867,-121.953,BHZ,2020.0,5.0,6.0,50.0
NC,LBR,41.409,-122.068,HHZ,2017.0,3.0,9.0,50.0
CN,BOIB,49.39,-123.379,HHZ,2021.0,17.0,5.0,50.0
NC,KFP,39.639,-123.425,EHZ,2020.0,5.0,6.0,50.0
CC,RUSH,46.903,-121.944,BHZ,2019.0,3.0,7.0,51.0
CC,PR05,46.842,-121.949,BHZ,2020.0,6.0,6.0,51.0
UW,COWS,47.666,-121.931,HHZ,2021.0,4.0,5.0,52.0
CC,MAR,46.285,-122.297,BHZ,2021.0,2.0,5.0,52.0
NC,LCM,40.147,-121.523,EHZ/HHZ,2018.0,6.0,8.0,52.0
UW,BHAM,48.787,-122.418,HHZ,2021.0,12.0,5.0,52.0
UO,WLOO,44.523,-122.738,HHZ,2020.0,10.0,6.0,52.0
UW,TDL,46.351,-122.217,EHZ,2008.0,8.0,18.0,53.0
NC,OGO,39.654,-121.613,EHZ,2019.0,22.0,7.0,53.0
NC,LRR,40.466,-121.622,EHZ,2018.0,4.0,8.0,53.0
CC,UNFR,46.273,-122.292,BHZ,2021.0,3.0,5.0,53.0
UW,YACT,45.932,-122.419,HHZ,2020.0,7.0,6.0,53.0
NC,KBS,39.917,-123.596,EHZ,2015.0,2.0,11.0,54.0
UW,BERY,48.264,-122.096,HHZ,2018.0,11.0,8.0,54.0
UW,ONRC,47.933,-124.396,HHZ,2021.0,4.0,5.0,54.0
NC,KMR,40.202,-123.709,HHZ,2016.0,1.0,10.0,55.0
UW,GSM,47.204,-121.796,EHZ,2019.0,8.0,7.0,55.0
UW,RATT,47.425,-121.803,HHZ,2019.0,16.0,7.0,56.0
UW,SSO2,44.841,-122.483,HHZ,2019.0,15.0,7.0,56.0
CC,NFT,46.27,-122.256,BHZ,2021.0,5.0,5.0,56.0
CC,GTWY,46.74,-121.917,BHZ,2020.0,7.0,6.0,56.0
UO,WOOD,42.218,-122.305,HHZ,2016.0,8.0,10.0,57.0
CN,CBB,50.032,-125.365,HHZ,2016.0,9.0,10.0,57.0
CC,JRO,46.275,-122.218,HHZ,2020.0,7.0,6.0,58.0
NC,KCPB,39.686,-123.582,HHZ,2016.0,14.0,10.0,58.0
UW,SAXON,48.683,-122.161,HHZ,2021.0,14.0,5.0,58.0
UW,HOQUI,47.081,-123.957,HHZ,2021.0,10.0,5.0,58.0
CN,SHB,49.599,-123.877,BHZ/HHZ,2004.0,6.0,22.0,58.0
UW,CORE,46.926,-123.916,HHZ,2020.0,8.0,6.0,58.0
NC,KCR,40.426,-123.821,EHZ,2020.0,3.0,6.0,59.0
NC,LDH,40.512,-121.582,HHZ,2019.0,2.0,7.0,59.0
UW,SHW,46.194,-122.235,EHZ/HHZ,2018.0,3.0,8.0,59.0
UW,MULN,48.535,-122.064,HHZ,2021.0,18.0,5.0,59.0
UW,RER,46.819,-121.843,EHZ/HHZ,2012.0,5.0,14.0,59.0
BK,JCC,40.817,-124.03,BHZ/HHZ,2015.0,3.0,11.0,60.0
CC,SWF2,46.178,-122.217,BHZ,2020.0,3.0,6.0,60.0
NC,LEL,40.464,-121.518,EHZ,2018.0,4.0,8.0,60.0
CC,STD,46.237,-122.224,BHZ,2020.0,5.0,6.0,60.0
BK,BJES,40.544,-123.88,BHZ/HHZ,2019.0,5.0,7.0,60.0
CC,KAUT,46.73,-121.857,BHZ,2020.0,8.0,6.0,60.0
PB,B001,48.0431,-123.1314,EH1/EH2/EHZ,2007.0,0.0,0.0,0.0
PB,B003,48.0624,-124.1409,EH1/EH2/EHZ,2007.0,0.0,0.0,0.0
PB,B004,48.2019,-124.427,EH1/EH2/EHZ,2007.0,0.0,0.0,0.0
PB,B011,48.6495,-123.4482,EH1/EH2/EHZ,2007.0,0.0,0.0,0.0
PB,B927,49.2188,-124.8113,EH1/EH2/EHZ,2007.0,0.0,0.0,0.0
PB,B928,48.8337,-125.1345,EH1/EH2/EHZ,2007.0,0.0,0.0,0.0
PB,B036,42.5058,-123.3817,,,,,
PB,B033,43.2917,-123.1245,,,,,
PB,B039,41.4667,-122.4847,,,,,
PB,B022,45.9546,-123.931,,,,,
PB,B040,41.8308,-122.4205,,,,,
PB,B045,40.436,-123.9965,,,,,
PB,B032,43.668,-123.3923,,,,,
PB,B013,47.813,-122.9108,,,,,
PB,B018,46.9795,-123.0203,,,,,
PB,B005,48.0595,-123.5033,,,,,
PB,B932,40.275,-124.2212,,,,,
PB,B201,46.3033,-122.2648,,,,,
