ym,nrow,nsite,nmode,idx_sig_real,idx_sig_meas,year
2019-12,3024,84,3,0.14987656089028778,0.08194701960036696,2019
2020-01,2892,84,3,0.1510854456414253,0.0789929722038787,2020
2020-02,2923,84,3,0.16044995133554293,0.08788595575173784,2020
2020-03,3141,89,3,0.158588964650205,0.08627976549280982,2020
2020-04,3125,89,3,0.1602646414799062,0.0872483353415671,2020
2020-05,3131,91,3,0.1582917128651806,0.08620726308849588,2020
2020-06,3252,92,3,0.1594912209752664,0.0870737565322516,2020
2020-07,3510,98,3,0.14830203786297247,0.0857455178839454,2020
2020-08,3542,98,11,0.14402650249940238,0.08586056988577793,2020
2020-09,3667,103,11,0.1432557350342824,0.0878780059231696,2020
2020-10,3821,107,11,0.14221204724954184,0.0872359349582369,2020
2020-11,4025,114,12,0.14319690287727785,0.08813637524630605,2020
2020-12,3982,114,12,0.1423599635445411,0.08650902290765368,2020
2021-01,3965,113,12,0.14088417920417717,0.08480197718313931,2021
2021-02,3937,110,12,0.13616816739266244,0.08319615747430126,2021
2021-03,3954,110,12,0.14024420187675238,0.08449000383129926,2021
2021-04,4050,118,12,0.12912241609395347,0.07725127602705775,2021
2021-05,4301,126,17,0.12421257589650997,0.07565540690661943,2021
2021-06,4300,124,17,0.12503857527285048,0.07580201297724833,2021
2021-07,4404,128,17,0.123066229016742,0.07487581198041571,2021
2021-08,4457,131,19,0.11967752219967528,0.07569314527503042,2021
2021-09,4775,136,19,0.11955168422361016,0.07400009091627494,2021
2021-10,4883,136,19,0.11895576228922725,0.07443087762663288,2021
2021-11,5080,142,24,0.12317253500103187,0.07638843085806625,2021
2021-12,5228,147,24,0.12052698190397829,0.07558664279040384,2021
2022-01,5205,143,24,0.12063615873951283,0.07529845665607461,2022
2022-02,5018,143,15,0.12315609447574866,0.07677253333295299,2022
2022-03,5234,145,24,0.11868393080948064,0.07429716761565769,2022
2022-04,5206,146,24,0.12056443697705031,0.07502929977502465,2022
2022-05,5177,145,16,0.12059870734394709,0.0756241840506582,2022
2022-06,5138,146,15,0.11552156905452485,0.06194245127188672,2022
2022-07,5226,146,16,0.11336665768385834,0.060665380985606844,2022
2022-08,5233,147,16,0.11157137315086671,0.060164549851347865,2022
2022-09,5053,146,24,0.12145602065070328,0.07555084364970459,2022
2022-10,5215,147,25,0.11948664466521756,0.07527071427071619,2022
2022-11,5221,146,23,0.12327164126592641,0.07847535070561867,2022
2022-12,5182,146,25,0.11737491745939806,0.07491617222702131,2022
2023-01,5167,144,25,0.11728884191882374,0.07494279198943195,2023
2023-02,5072,143,24,0.12304357034205742,0.0777001599029544,2023
2023-03,4938,140,25,0.12205887392813006,0.0765108150327617,2023
2023-04,4922,139,24,0.12348902730831623,0.07725082834504753,2023
2023-05,5021,139,17,0.12330873185476286,0.07700968945293815,2023
2023-06,4894,139,16,0.12497790057519254,0.07804954675126168,2023
2023-07,5036,143,25,0.12008403655183725,0.07438661029451037,2023
2023-08,5067,144,25,0.11629306012080073,0.07452150822993825,2023
2023-09,4979,141,24,0.11939425834628185,0.07416340563463292,2023
2023-10,4950,141,25,0.1208169776839162,0.07415164056142132,2023
2023-11,4929,140,24,0.12054247413813712,0.07493851917424109,2023
2023-12,4898,139,25,0.11999903654590367,0.07494513445315966,2023
2024-01,4803,139,25,0.12038414745967231,0.07482658164388048,2024
2024-02,4762,133,24,0.12166887893364153,0.0747513704528222,2024
2024-03,4754,133,25,0.12052291857060747,0.07457191887677421,2024
2024-04,4720,134,24,0.12338236284542405,0.07704108500838006,2024
2024-05,4801,136,25,0.12193619171847019,0.07614083076273692,2024
2024-06,4742,136,15,0.12110957684067758,0.07554165713625877,2024
2024-07,4847,140,17,0.11943402131619937,0.07436992158355513,2024
2024-08,4825,138,16,0.11919988924470341,0.07318782633021151,2024
2024-09,4866,139,24,0.11832354193552669,0.0728275817913173,2024
2024-10,4850,142,25,0.1211332395262863,0.0750409975560995,2024
2024-11,4923,139,24,0.12127023623111519,0.07635198908572234,2024
2024-12,4945,138,23,0.12017746302907367,0.0757481626276039,2024
2025-01,4834,136,24,0.12272274470648584,0.07817277983361345,2025
2025-02,4818,137,24,0.1223853167278145,0.07620272070844254,2025
2025-03,4882,136,25,0.12120362402291139,0.0752149609447759,2025
2025-04,4792,137,24,0.12315234882060057,0.07630389595442329,2025
2025-05,4973,141,25,0.12054226481937053,0.07510714755538318,2025
2025-06,4885,137,24,0.11871792777379928,0.07408734009294164,2025
2025-07,5018,140,25,0.11692204902820398,0.07306316125553562,2025
